year,population_group,facility,coefficient,t_statistic,significance_stars,is_significant,direction,evidence_label,interpretation,model
2019,Women,Playground,-0.006,-1.48,,False,No clear evidence,No clear evidence,"In 2019, the fully adjusted fixed-effects model found no clear statistical evidence of an association between playground and visits from women.",Fully adjusted fixed-effects model
2020,Women,Playground,0.001,-0.223,,False,No clear evidence,No clear evidence,"In 2020, the fully adjusted fixed-effects model found no clear statistical evidence of an association between playground and visits from women.",Fully adjusted fixed-effects model
2021,Women,Playground,0.01,-1.466,,False,No clear evidence,No clear evidence,"In 2021, the fully adjusted fixed-effects model found no clear statistical evidence of an association between playground and visits from women.",Fully adjusted fixed-effects model
2019,Women,Baseball,0.006,-1.256,,False,No clear evidence,No clear evidence,"In 2019, the fully adjusted fixed-effects model found no clear statistical evidence of an association between baseball and visits from women.",Fully adjusted fixed-effects model
2020,Women,Baseball,0.003,-0.549,,False,No clear evidence,No clear evidence,"In 2020, the fully adjusted fixed-effects model found no clear statistical evidence of an association between baseball and visits from women.",Fully adjusted fixed-effects model
2021,Women,Baseball,0.014,-2.014,**,True,Positive,Moderate,"In 2021, baseball showed a positive and statistically significant association with visits from women in the fully adjusted fixed-effects model.",Fully adjusted fixed-effects model
2019,Women,Recreation Center,-0.002,-0.776,,False,No clear evidence,No clear evidence,"In 2019, the fully adjusted fixed-effects model found no clear statistical evidence of an association between recreation center and visits from women.",Fully adjusted fixed-effects model
2020,Women,Recreation Center,-0.002,-0.318,,False,No clear evidence,No clear evidence,"In 2020, the fully adjusted fixed-effects model found no clear statistical evidence of an association between recreation center and visits from women.",Fully adjusted fixed-effects model
2021,Women,Recreation Center,-0.014,-2.001,**,True,Negative,Moderate,"In 2021, recreation center showed a negative and statistically significant association with visits from women in the fully adjusted fixed-effects model.",Fully adjusted fixed-effects model
2019,Women,Garden Center,-0.009,-3.826,***,True,Negative,Strong,"In 2019, garden center showed a negative and statistically significant association with visits from women in the fully adjusted fixed-effects model.",Fully adjusted fixed-effects model
2020,Women,Garden Center,-0.011,-2.556,**,True,Negative,Moderate,"In 2020, garden center showed a negative and statistically significant association with visits from women in the fully adjusted fixed-effects model.",Fully adjusted fixed-effects model
2021,Women,Garden Center,-0.01,-1.846,*,True,Negative,Suggestive,"In 2021, garden center showed a negative and statistically significant association with visits from women in the fully adjusted fixed-effects model.",Fully adjusted fixed-effects model
2019,Women,Basketball,-0.001,-0.179,,False,No clear evidence,No clear evidence,"In 2019, the fully adjusted fixed-effects model found no clear statistical evidence of an association between basketball and visits from women.",Fully adjusted fixed-effects model
2020,Women,Basketball,0.016,-3.322,***,True,Positive,Strong,"In 2020, basketball showed a positive and statistically significant association with visits from women in the fully adjusted fixed-effects model.",Fully adjusted fixed-effects model
2021,Women,Basketball,0.014,-2.153,**,True,Positive,Moderate,"In 2021, basketball showed a positive and statistically significant association with visits from women in the fully adjusted fixed-effects model.",Fully adjusted fixed-effects model
2019,Women,Parking Lot,-0.009,-2.136,**,True,Negative,Moderate,"In 2019, parking lot showed a negative and statistically significant association with visits from women in the fully adjusted fixed-effects model.",Fully adjusted fixed-effects model
2020,Women,Parking Lot,-0.016,-2.727,***,True,Negative,Strong,"In 2020, parking lot showed a negative and statistically significant association with visits from women in the fully adjusted fixed-effects model.",Fully adjusted fixed-effects model
2021,Women,Parking Lot,-0.02,-2.305,**,True,Negative,Moderate,"In 2021, parking lot showed a negative and statistically significant association with visits from women in the fully adjusted fixed-effects model.",Fully adjusted fixed-effects model
2019,Children,Golf,-0.037,-5.989,***,True,Negative,Strong,"In 2019, golf showed a negative and statistically significant association with visits from children in the fully adjusted fixed-effects model.",Fully adjusted fixed-effects model
2020,Children,Golf,-0.026,-3.006,***,True,Negative,Strong,"In 2020, golf showed a negative and statistically significant association with visits from children in the fully adjusted fixed-effects model.",Fully adjusted fixed-effects model
2021,Children,Golf,-0.033,-3.751,***,True,Negative,Strong,"In 2021, golf showed a negative and statistically significant association with visits from children in the fully adjusted fixed-effects model.",Fully adjusted fixed-effects model
2019,Children,Soccer,0.004,-0.91,,False,No clear evidence,No clear evidence,"In 2019, the fully adjusted fixed-effects model found no clear statistical evidence of an association between soccer and visits from children.",Fully adjusted fixed-effects model
2020,Children,Soccer,-0.006,-0.88,,False,No clear evidence,No clear evidence,"In 2020, the fully adjusted fixed-effects model found no clear statistical evidence of an association between soccer and visits from children.",Fully adjusted fixed-effects model
2021,Children,Soccer,-0.021,-2.563,**,True,Negative,Moderate,"In 2021, soccer showed a negative and statistically significant association with visits from children in the fully adjusted fixed-effects model.",Fully adjusted fixed-effects model
2019,Children,Memorial,0.033,-9.177,***,True,Positive,Strong,"In 2019, memorial showed a positive and statistically significant association with visits from children in the fully adjusted fixed-effects model.",Fully adjusted fixed-effects model
2020,Children,Memorial,0.063,-10.133,***,True,Positive,Strong,"In 2020, memorial showed a positive and statistically significant association with visits from children in the fully adjusted fixed-effects model.",Fully adjusted fixed-effects model
2021,Children,Memorial,0.085,-11.105,***,True,Positive,Strong,"In 2021, memorial showed a positive and statistically significant association with visits from children in the fully adjusted fixed-effects model.",Fully adjusted fixed-effects model
2019,Children,Gym,-0.015,-3.221,***,True,Negative,Strong,"In 2019, gym showed a negative and statistically significant association with visits from children in the fully adjusted fixed-effects model.",Fully adjusted fixed-effects model
2020,Children,Gym,-0.03,-4.263,***,True,Negative,Strong,"In 2020, gym showed a negative and statistically significant association with visits from children in the fully adjusted fixed-effects model.",Fully adjusted fixed-effects model
2021,Children,Gym,0.0,-0.016,,False,No clear evidence,No clear evidence,"In 2021, the fully adjusted fixed-effects model found no clear statistical evidence of an association between gym and visits from children.",Fully adjusted fixed-effects model
2019,Children,Shade Area,-0.005,-1.042,,False,No clear evidence,No clear evidence,"In 2019, the fully adjusted fixed-effects model found no clear statistical evidence of an association between shade area and visits from children.",Fully adjusted fixed-effects model
2020,Children,Shade Area,-0.004,-0.556,,False,No clear evidence,No clear evidence,"In 2020, the fully adjusted fixed-effects model found no clear statistical evidence of an association between shade area and visits from children.",Fully adjusted fixed-effects model
2021,Children,Shade Area,-0.004,-0.471,,False,No clear evidence,No clear evidence,"In 2021, the fully adjusted fixed-effects model found no clear statistical evidence of an association between shade area and visits from children.",Fully adjusted fixed-effects model
2019,Children,Volleyball,0.016,-2.901,***,True,Positive,Strong,"In 2019, volleyball showed a positive and statistically significant association with visits from children in the fully adjusted fixed-effects model.",Fully adjusted fixed-effects model
2020,Children,Volleyball,0.025,-3.002,***,True,Positive,Strong,"In 2020, volleyball showed a positive and statistically significant association with visits from children in the fully adjusted fixed-effects model.",Fully adjusted fixed-effects model
2021,Children,Volleyball,0.038,-4.539,***,True,Positive,Strong,"In 2021, volleyball showed a positive and statistically significant association with visits from children in the fully adjusted fixed-effects model.",Fully adjusted fixed-effects model
2019,Children,Swimming Pool,-0.003,-0.719,,False,No clear evidence,No clear evidence,"In 2019, the fully adjusted fixed-effects model found no clear statistical evidence of an association between swimming pool and visits from children.",Fully adjusted fixed-effects model
2020,Children,Swimming Pool,-0.011,-1.515,,False,No clear evidence,No clear evidence,"In 2020, the fully adjusted fixed-effects model found no clear statistical evidence of an association between swimming pool and visits from children.",Fully adjusted fixed-effects model
2021,Children,Swimming Pool,0.032,-3.631,***,True,Positive,Strong,"In 2021, swimming pool showed a positive and statistically significant association with visits from children in the fully adjusted fixed-effects model.",Fully adjusted fixed-effects model
2019,Children,Tennis,0.002,-0.566,,False,No clear evidence,No clear evidence,"In 2019, the fully adjusted fixed-effects model found no clear statistical evidence of an association between tennis and visits from children.",Fully adjusted fixed-effects model
2020,Children,Tennis,0.016,-2.626,***,True,Positive,Strong,"In 2020, tennis showed a positive and statistically significant association with visits from children in the fully adjusted fixed-effects model.",Fully adjusted fixed-effects model
2021,Children,Tennis,-0.033,-4.121,***,True,Negative,Strong,"In 2021, tennis showed a negative and statistically significant association with visits from children in the fully adjusted fixed-effects model.",Fully adjusted fixed-effects model
2019,Children,Playground,0.026,-4.586,***,True,Positive,Strong,"In 2019, playground showed a positive and statistically significant association with visits from children in the fully adjusted fixed-effects model.",Fully adjusted fixed-effects model
2020,Children,Playground,0.04,-4.654,***,True,Positive,Strong,"In 2020, playground showed a positive and statistically significant association with visits from children in the fully adjusted fixed-effects model.",Fully adjusted fixed-effects model
2021,Children,Playground,0.023,-2.512,**,True,Positive,Moderate,"In 2021, playground showed a positive and statistically significant association with visits from children in the fully adjusted fixed-effects model.",Fully adjusted fixed-effects model
2019,Children,Baseball,0.012,-1.974,**,True,Positive,Moderate,"In 2019, baseball showed a positive and statistically significant association with visits from children in the fully adjusted fixed-effects model.",Fully adjusted fixed-effects model
2020,Children,Baseball,-0.035,-3.841,***,True,Negative,Strong,"In 2020, baseball showed a negative and statistically significant association with visits from children in the fully adjusted fixed-effects model.",Fully adjusted fixed-effects model
2021,Children,Baseball,-0.043,-4.605,***,True,Negative,Strong,"In 2021, baseball showed a negative and statistically significant association with visits from children in the fully adjusted fixed-effects model.",Fully adjusted fixed-effects model
2019,Children,Recreation Center,-0.004,-0.89,,False,No clear evidence,No clear evidence,"In 2019, the fully adjusted fixed-effects model found no clear statistical evidence of an association between recreation center and visits from children.",Fully adjusted fixed-effects model
2020,Children,Recreation Center,0.014,-2.064,**,True,Positive,Moderate,"In 2020, recreation center showed a positive and statistically significant association with visits from children in the fully adjusted fixed-effects model.",Fully adjusted fixed-effects model
2021,Children,Recreation Center,-0.031,-3.38,***,True,Negative,Strong,"In 2021, recreation center showed a negative and statistically significant association with visits from children in the fully adjusted fixed-effects model.",Fully adjusted fixed-effects model
2019,Children,Garden Center,-0.001,-0.214,,False,No clear evidence,No clear evidence,"In 2019, the fully adjusted fixed-effects model found no clear statistical evidence of an association between garden center and visits from children.",Fully adjusted fixed-effects model
2020,Children,Garden Center,0.005,-0.766,,False,No clear evidence,No clear evidence,"In 2020, the fully adjusted fixed-effects model found no clear statistical evidence of an association between garden center and visits from children.",Fully adjusted fixed-effects model
2021,Children,Garden Center,-0.003,-0.35,,False,No clear evidence,No clear evidence,"In 2021, the fully adjusted fixed-effects model found no clear statistical evidence of an association between garden center and visits from children.",Fully adjusted fixed-effects model
2019,Children,Basketball,-0.014,-3.041,***,True,Negative,Strong,"In 2019, basketball showed a negative and statistically significant association with visits from children in the fully adjusted fixed-effects model.",Fully adjusted fixed-effects model
2020,Children,Basketball,-0.01,-1.429,,False,No clear evidence,No clear evidence,"In 2020, the fully adjusted fixed-effects model found no clear statistical evidence of an association between basketball and visits from children.",Fully adjusted fixed-effects model
2021,Children,Basketball,-0.002,-0.252,,False,No clear evidence,No clear evidence,"In 2021, the fully adjusted fixed-effects model found no clear statistical evidence of an association between basketball and visits from children.",Fully adjusted fixed-effects model
2019,Children,Parking Lot,-0.034,-5.712,***,True,Negative,Strong,"In 2019, parking lot showed a negative and statistically significant association with visits from children in the fully adjusted fixed-effects model.",Fully adjusted fixed-effects model
2020,Children,Parking Lot,-0.062,-7.233,***,True,Negative,Strong,"In 2020, parking lot showed a negative and statistically significant association with visits from children in the fully adjusted fixed-effects model.",Fully adjusted fixed-effects model
2021,Children,Parking Lot,-0.058,-5.329,***,True,Negative,Strong,"In 2021, parking lot showed a negative and statistically significant association with visits from children in the fully adjusted fixed-effects model.",Fully adjusted fixed-effects model
2019,Older Adults,Golf,-0.012,-3.056,***,True,Negative,Strong,"In 2019, golf showed a negative and statistically significant association with visits from older adults in the fully adjusted fixed-effects model.",Fully adjusted fixed-effects model
2020,Older Adults,Golf,-0.021,-3.735,***,True,Negative,Strong,"In 2020, golf showed a negative and statistically significant association with visits from older adults in the fully adjusted fixed-effects model.",Fully adjusted fixed-effects model
2021,Older Adults,Golf,-0.009,-1.458,,False,No clear evidence,No clear evidence,"In 2021, the fully adjusted fixed-effects model found no clear statistical evidence of an association between golf and visits from older adults.",Fully adjusted fixed-effects model
2019,Older Adults,Soccer,-0.023,-6.684,***,True,Negative,Strong,"In 2019, soccer showed a negative and statistically significant association with visits from older adults in the fully adjusted fixed-effects model.",Fully adjusted fixed-effects model
2020,Older Adults,Soccer,-0.021,-4.31,***,True,Negative,Strong,"In 2020, soccer showed a negative and statistically significant association with visits from older adults in the fully adjusted fixed-effects model.",Fully adjusted fixed-effects model
2021,Older Adults,Soccer,-0.051,-7.729,***,True,Negative,Strong,"In 2021, soccer showed a negative and statistically significant association with visits from older adults in the fully adjusted fixed-effects model.",Fully adjusted fixed-effects model
2019,Older Adults,Memorial,0.011,-4.036,***,True,Positive,Strong,"In 2019, memorial showed a positive and statistically significant association with visits from older adults in the fully adjusted fixed-effects model.",Fully adjusted fixed-effects model
2020,Older Adults,Memorial,0.014,-3.045,***,True,Positive,Strong,"In 2020, memorial showed a positive and statistically significant association with visits from older adults in the fully adjusted fixed-effects model.",Fully adjusted fixed-effects model
2021,Older Adults,Memorial,0.018,-3.167,***,True,Positive,Strong,"In 2021, memorial showed a positive and statistically significant association with visits from older adults in the fully adjusted fixed-effects model.",Fully adjusted fixed-effects model
2019,Older Adults,Gym,0.013,-3.773,***,True,Positive,Strong,"In 2019, gym showed a positive and statistically significant association with visits from older adults in the fully adjusted fixed-effects model.",Fully adjusted fixed-effects model
2020,Older Adults,Gym,0.0,-0.051,,False,No clear evidence,No clear evidence,"In 2020, the fully adjusted fixed-effects model found no clear statistical evidence of an association between gym and visits from older adults.",Fully adjusted fixed-effects model
2021,Older Adults,Gym,0.002,-0.239,,False,No clear evidence,No clear evidence,"In 2021, the fully adjusted fixed-effects model found no clear statistical evidence of an association between gym and visits from older adults.",Fully adjusted fixed-effects model
2019,Older Adults,Shade Area,-0.006,-1.792,*,True,Negative,Suggestive,"In 2019, shade area showed a negative and statistically significant association with visits from older adults in the fully adjusted fixed-effects model.",Fully adjusted fixed-effects model
2020,Older Adults,Shade Area,-0.017,-3.669,***,True,Negative,Strong,"In 2020, shade area showed a negative and statistically significant association with visits from older adults in the fully adjusted fixed-effects model.",Fully adjusted fixed-effects model
2021,Older Adults,Shade Area,-0.021,-3.647,***,True,Negative,Strong,"In 2021, shade area showed a negative and statistically significant association with visits from older adults in the fully adjusted fixed-effects model.",Fully adjusted fixed-effects model
2019,Older Adults,Volleyball,-0.013,-3.565,***,True,Negative,Strong,"In 2019, volleyball showed a negative and statistically significant association with visits from older adults in the fully adjusted fixed-effects model.",Fully adjusted fixed-effects model
2020,Older Adults,Volleyball,-0.035,-6.391,***,True,Negative,Strong,"In 2020, volleyball showed a negative and statistically significant association with visits from older adults in the fully adjusted fixed-effects model.",Fully adjusted fixed-effects model
2021,Older Adults,Volleyball,-0.039,-6.738,***,True,Negative,Strong,"In 2021, volleyball showed a negative and statistically significant association with visits from older adults in the fully adjusted fixed-effects model.",Fully adjusted fixed-effects model
2019,Older Adults,Swimming Pool,-0.005,-1.638,,False,No clear evidence,No clear evidence,"In 2019, the fully adjusted fixed-effects model found no clear statistical evidence of an association between swimming pool and visits from older adults.",Fully adjusted fixed-effects model
2020,Older Adults,Swimming Pool,-0.01,-2.054,**,True,Negative,Moderate,"In 2020, swimming pool showed a negative and statistically significant association with visits from older adults in the fully adjusted fixed-effects model.",Fully adjusted fixed-effects model
2021,Older Adults,Swimming Pool,-0.013,-2.111,**,True,Negative,Moderate,"In 2021, swimming pool showed a negative and statistically significant association with visits from older adults in the fully adjusted fixed-effects model.",Fully adjusted fixed-effects model
2019,Older Adults,Tennis,-0.016,-6.595,***,True,Negative,Strong,"In 2019, tennis showed a negative and statistically significant association with visits from older adults in the fully adjusted fixed-effects model.",Fully adjusted fixed-effects model
2020,Older Adults,Tennis,-0.018,-4.723,***,True,Negative,Strong,"In 2020, tennis showed a negative and statistically significant association with visits from older adults in the fully adjusted fixed-effects model.",Fully adjusted fixed-effects model
2021,Older Adults,Tennis,-0.029,-5.707,***,True,Negative,Strong,"In 2021, tennis showed a negative and statistically significant association with visits from older adults in the fully adjusted fixed-effects model.",Fully adjusted fixed-effects model
2019,Older Adults,Playground,0.01,-2.687,***,True,Positive,Strong,"In 2019, playground showed a positive and statistically significant association with visits from older adults in the fully adjusted fixed-effects model.",Fully adjusted fixed-effects model
2020,Older Adults,Playground,0.034,-5.986,***,True,Positive,Strong,"In 2020, playground showed a positive and statistically significant association with visits from older adults in the fully adjusted fixed-effects model.",Fully adjusted fixed-effects model
2021,Older Adults,Playground,0.02,-3.111,***,True,Positive,Strong,"In 2021, playground showed a positive and statistically significant association with visits from older adults in the fully adjusted fixed-effects model.",Fully adjusted fixed-effects model
2019,Older Adults,Baseball,0.007,-1.6,,False,No clear evidence,No clear evidence,"In 2019, the fully adjusted fixed-effects model found no clear statistical evidence of an association between baseball and visits from older adults.",Fully adjusted fixed-effects model
2020,Older Adults,Baseball,-0.025,-3.968,***,True,Negative,Strong,"In 2020, baseball showed a negative and statistically significant association with visits from older adults in the fully adjusted fixed-effects model.",Fully adjusted fixed-effects model
2021,Older Adults,Baseball,-0.03,-4.184,***,True,Negative,Strong,"In 2021, baseball showed a negative and statistically significant association with visits from older adults in the fully adjusted fixed-effects model.",Fully adjusted fixed-effects model
2019,Older Adults,Recreation Center,0.013,-4.226,***,True,Positive,Strong,"In 2019, recreation center showed a positive and statistically significant association with visits from older adults in the fully adjusted fixed-effects model.",Fully adjusted fixed-effects model
2020,Older Adults,Recreation Center,0.014,-2.729,***,True,Positive,Strong,"In 2020, recreation center showed a positive and statistically significant association with visits from older adults in the fully adjusted fixed-effects model.",Fully adjusted fixed-effects model
2021,Older Adults,Recreation Center,0.021,-3.079,***,True,Positive,Strong,"In 2021, recreation center showed a positive and statistically significant association with visits from older adults in the fully adjusted fixed-effects model.",Fully adjusted fixed-effects model
2019,Older Adults,Garden Center,0.009,-4.758,***,True,Positive,Strong,"In 2019, garden center showed a positive and statistically significant association with visits from older adults in the fully adjusted fixed-effects model.",Fully adjusted fixed-effects model
2020,Older Adults,Garden Center,0.009,-2.428,**,True,Positive,Moderate,"In 2020, garden center showed a positive and statistically significant association with visits from older adults in the fully adjusted fixed-effects model.",Fully adjusted fixed-effects model
2021,Older Adults,Garden Center,-0.007,-1.248,,False,No clear evidence,No clear evidence,"In 2021, the fully adjusted fixed-effects model found no clear statistical evidence of an association between garden center and visits from older adults.",Fully adjusted fixed-effects model
2019,Older Adults,Basketball,-0.006,-1.7,*,True,Negative,Suggestive,"In 2019, basketball showed a negative and statistically significant association with visits from older adults in the fully adjusted fixed-effects model.",Fully adjusted fixed-effects model
2020,Older Adults,Basketball,-0.013,-2.592,***,True,Negative,Strong,"In 2020, basketball showed a negative and statistically significant association with visits from older adults in the fully adjusted fixed-effects model.",Fully adjusted fixed-effects model
2021,Older Adults,Basketball,0.005,-0.757,,False,No clear evidence,No clear evidence,"In 2021, the fully adjusted fixed-effects model found no clear statistical evidence of an association between basketball and visits from older adults.",Fully adjusted fixed-effects model
2019,Older Adults,Parking Lot,0.015,-3.653,***,True,Positive,Strong,"In 2019, parking lot showed a positive and statistically significant association with visits from older adults in the fully adjusted fixed-effects model.",Fully adjusted fixed-effects model
2020,Older Adults,Parking Lot,0.034,-5.811,***,True,Positive,Strong,"In 2020, parking lot showed a positive and statistically significant association with visits from older adults in the fully adjusted fixed-effects model.",Fully adjusted fixed-effects model
2021,Older Adults,Parking Lot,0.047,-6.529,***,True,Positive,Strong,"In 2021, parking lot showed a positive and statistically significant association with visits from older adults in the fully adjusted fixed-effects model.",Fully adjusted fixed-effects model
2019,Hispanic Residents,Golf,0.011,-1.284,,False,No clear evidence,No clear evidence,"In 2019, the fully adjusted fixed-effects model found no clear statistical evidence of an association between golf and visits from hispanic residents.",Fully adjusted fixed-effects model
2020,Hispanic Residents,Golf,-0.002,-0.189,,False,No clear evidence,No clear evidence,"In 2020, the fully adjusted fixed-effects model found no clear statistical evidence of an association between golf and visits from hispanic residents.",Fully adjusted fixed-effects model
2021,Hispanic Residents,Golf,0.048,-3.896,***,True,Positive,Strong,"In 2021, golf showed a positive and statistically significant association with visits from hispanic residents in the fully adjusted fixed-effects model.",Fully adjusted fixed-effects model
2019,Hispanic Residents,Soccer,0.015,-2.189,**,True,Positive,Moderate,"In 2019, soccer showed a positive and statistically significant association with visits from hispanic residents in the fully adjusted fixed-effects model.",Fully adjusted fixed-effects model
2020,Hispanic Residents,Soccer,0.024,-2.544,**,True,Positive,Moderate,"In 2020, soccer showed a positive and statistically significant association with visits from hispanic residents in the fully adjusted fixed-effects model.",Fully adjusted fixed-effects model
2021,Hispanic Residents,Soccer,-0.023,-2.15,**,True,Negative,Moderate,"In 2021, soccer showed a negative and statistically significant association with visits from hispanic residents in the fully adjusted fixed-effects model.",Fully adjusted fixed-effects model
2019,Hispanic Residents,Memorial,-0.014,-2.537,**,True,Negative,Moderate,"In 2019, memorial showed a negative and statistically significant association with visits from hispanic residents in the fully adjusted fixed-effects model.",Fully adjusted fixed-effects model
2020,Hispanic Residents,Memorial,-0.022,-2.471,**,True,Negative,Moderate,"In 2020, memorial showed a negative and statistically significant association with visits from hispanic residents in the fully adjusted fixed-effects model.",Fully adjusted fixed-effects model
2021,Hispanic Residents,Memorial,-0.03,-3.043,***,True,Negative,Strong,"In 2021, memorial showed a negative and statistically significant association with visits from hispanic residents in the fully adjusted fixed-effects model.",Fully adjusted fixed-effects model
2019,Hispanic Residents,Gym,-0.015,-2.142,**,True,Negative,Moderate,"In 2019, gym showed a negative and statistically significant association with visits from hispanic residents in the fully adjusted fixed-effects model.",Fully adjusted fixed-effects model
2020,Hispanic Residents,Gym,-0.012,-1.105,,False,No clear evidence,No clear evidence,"In 2020, the fully adjusted fixed-effects model found no clear statistical evidence of an association between gym and visits from hispanic residents.",Fully adjusted fixed-effects model
2021,Hispanic Residents,Gym,0.002,-0.134,,False,No clear evidence,No clear evidence,"In 2021, the fully adjusted fixed-effects model found no clear statistical evidence of an association between gym and visits from hispanic residents.",Fully adjusted fixed-effects model
2019,Hispanic Residents,Shade Area,0.021,-3.116,***,True,Positive,Strong,"In 2019, shade area showed a positive and statistically significant association with visits from hispanic residents in the fully adjusted fixed-effects model.",Fully adjusted fixed-effects model
2020,Hispanic Residents,Shade Area,0.036,-3.569,***,True,Positive,Strong,"In 2020, shade area showed a positive and statistically significant association with visits from hispanic residents in the fully adjusted fixed-effects model.",Fully adjusted fixed-effects model
2021,Hispanic Residents,Shade Area,0.027,-2.289,**,True,Positive,Moderate,"In 2021, shade area showed a positive and statistically significant association with visits from hispanic residents in the fully adjusted fixed-effects model.",Fully adjusted fixed-effects model
2019,Hispanic Residents,Volleyball,-0.028,-3.556,***,True,Negative,Strong,"In 2019, volleyball showed a negative and statistically significant association with visits from hispanic residents in the fully adjusted fixed-effects model.",Fully adjusted fixed-effects model
2020,Hispanic Residents,Volleyball,-0.053,-5.011,***,True,Negative,Strong,"In 2020, volleyball showed a negative and statistically significant association with visits from hispanic residents in the fully adjusted fixed-effects model.",Fully adjusted fixed-effects model
2021,Hispanic Residents,Volleyball,-0.064,-5.486,***,True,Negative,Strong,"In 2021, volleyball showed a negative and statistically significant association with visits from hispanic residents in the fully adjusted fixed-effects model.",Fully adjusted fixed-effects model
